iter	R2	RMSE
0	0.02522536904	1.881759296
1	0.05489620816	1.852898859
2	0.07283883545	1.835226101
3	0.1000513238	1.808093281
4	0.1143079588	1.793714555
5	0.1264346788	1.78139264
6	0.1494967271	1.757721058
7	0.1690666921	1.737380909
8	0.1897080513	1.715665914
9	0.2029372798	1.701602871
10	0.2198055521	1.683501039
11	0.2283647073	1.674241114
12	0.2383799405	1.663340446
13	0.2472018802	1.653679048
14	0.2578897321	1.641898029
15	0.2722494882	1.625935154
16	0.288025284	1.608215512
17	0.298901151	1.595884983
18	0.3065782467	1.58712339
19	0.3132288698	1.579493985
20	0.3252595849	1.565598235
21	0.3338418306	1.555609692
22	0.3391362879	1.549415563
23	0.3512422421	1.535158577
24	0.3616280312	1.522821029
25	0.3689651229	1.51404451
26	0.3785602958	1.502489549
27	0.3823425101	1.497910335
28	0.3886459626	1.490247334
29	0.3964781653	1.480670605
30	0.4026934988	1.473026575
31	0.408258575	1.466148457
32	0.4157628886	1.456822134
33	0.4183376083	1.453608499
34	0.4252032887	1.445004164
35	0.4321775094	1.436211025
36	0.4366739769	1.430513195
37	0.4408867525	1.425154185
38	0.4451417241	1.419720964
39	0.4491147097	1.414628975
40	0.4523508824	1.410467739
41	0.4572273672	1.404174016
42	0.4596061313	1.401093659
43	0.4652041989	1.393817637
44	0.4699915228	1.387565104
45	0.4727035906	1.384010446
46	0.4747955753	1.381262271
47	0.4798324744	1.374622913
48	0.4830831211	1.370321014
49	0.4876004257	1.3643203
50	0.4882995761	1.3633892
51	0.4911696238	1.359560305
52	0.4939954323	1.355779865
53	0.497369339	1.351252312
54	0.5017372612	1.345368226
55	0.504290693	1.341916514
56	0.5069561247	1.338303905
57	0.5094736284	1.334882813
58	0.5111632703	1.332581796
59	0.513072381	1.329977107
60	0.5154351959	1.326746328
61	0.5188492202	1.322064239
62	0.5210563114	1.319028528
63	0.5242700646	1.314595682
64	0.5260227087	1.312171886
65	0.5281376963	1.309241018
66	0.5297058217	1.307063727
67	0.5329888413	1.302493576
68	0.5345619819	1.300297982
69	0.5376674023	1.295952903
70	0.5401583514	1.292457029
71	0.541861397	1.290061471
72	0.5447101718	1.286044318
73	0.5474563283	1.282159957
74	0.54950479	1.279254784
75	0.5514714126	1.276459457
76	0.5527256629	1.274673484
77	0.5552102482	1.271128181
78	0.5576562909	1.26762819
79	0.5588104073	1.26597343
80	0.5605177574	1.263521473
81	0.5623776316	1.260845048
82	0.5636389041	1.259026795
83	0.565555216	1.256259199
84	0.5667307808	1.254558391
85	0.5687478702	1.251634679
86	0.5704176253	1.249209241
87	0.5723084723	1.246456954
88	0.5731682592	1.245203449
89	0.5749699162	1.242572668
90	0.5763991728	1.240481697
91	0.5780864217	1.238008745
92	0.5789159467	1.23679112
93	0.5805558358	1.234380463
94	0.581431638	1.233091092
95	0.5829625456	1.23083402
96	0.5844652106	1.228614555
97	0.5857391829	1.226729728
