iter	Passed	Remaining
0	135	135058
1	135	67563
2	135	45049
3	135	33797
4	135	27040
5	136	22531
6	136	19313
7	136	16903
8	136	15027
9	136	13527
10	136	12301
11	136	11273
12	137	10406
13	137	9660
14	137	9017
15	137	8455
16	137	7959
17	137	7519
18	137	7122
19	138	6765
20	138	6445
21	138	6152
22	138	5883
23	138	5639
24	138	5413
25	138	5205
26	139	5013
27	139	4833
28	139	4666
29	139	4512
30	139	4366
31	139	4231
32	140	4102
33	140	3980
34	140	3867
35	140	3760
36	140	3658
37	140	3562
38	140	3471
39	141	3385
40	141	3303
41	141	3224
42	141	3148
43	141	3077
44	141	3009
45	141	2943
46	142	2880
47	142	2821
48	142	2763
49	142	2707
50	142	2653
51	142	2603
52	142	2554
53	143	2506
54	143	2461
55	143	2417
56	143	2375
57	143	2333
58	143	2294
59	143	2255
60	144	2219
61	144	2183
62	144	2148
63	144	2115
64	144	2082
65	144	2050
66	145	2020
67	145	1990
68	145	1961
69	145	1933
70	145	1906
71	145	1880
72	146	1855
73	146	1830
74	146	1805
75	146	1781
76	146	1758
77	146	1736
78	147	1714
79	147	1693
80	147	1672
81	147	1652
82	147	1631
83	147	1612
84	148	1593
85	148	1575
86	148	1557
87	148	1539
88	148	1522
89	148	1505
90	149	1488
91	149	1472
92	149	1457
93	149	1441
94	149	1426
95	149	1411
96	150	1397
97	150	1383
